idx,label,premise,hypothesis,explanation,ias,n_relations,supports_entailment,supports_contradiction,supports_neutral,consistent,scc_score,scc_weighted,cct_proxy,divergence
0,neutral,A man wearing a white button down shirt is walking down the street.,The man is on his way to a movie.,"The man could be heading anywhere at all, and there's no indication that he's on his way to a movie.",way|movie,18,False,False,True,True,1.0,1.0,0.2241,0.7759
1,neutral,"Group of people standing on a snow covered ground, some are holding brooms, there is a dog with the group.",Group of people standing on a snow covered ground after a blizzard ready to sweep off the buried cars while a dog is nearby.,A group of people holding brooms on snow covered ground does not necessarily mean that it's happening after a blizzard.,blizzard,3,False,False,True,True,1.0,0.8,0.1196,0.8804
2,entailment,"A group of men are sitting and standing a courtyard, some of them are reading books and some are talking.",Men are reading and milling about.,"A group of men standing together is ""milling about"" and both sentences having the men reading.",reading|milling|about,24,False,False,True,False,0.0,0.0,0.2564,0.2564
3,contradiction,A group of smiling people are posing outdoors for a picture.,The group of people are frowning.,You can not be smiling and frowning at the same time.,smiling|frowning,11,True,False,False,False,0.0,0.0,0.5282,0.5282
4,entailment,A woman in a purple jacket walks by two elderly men outside a cafe.,A women walking outdoors.,Walking outside of a cafe implies the woman is walking outdoors.,walks|outside|cafe|walking|outdoors,33,True,False,False,True,1.0,1.0,0.6112,0.3888
5,contradiction,a couple wearing bright outfits walking hand and hand on a sidewalk.,The couple is naked.,A couple can either be naked or wear something but not both.,couple|wearing|naked,20,False,False,True,False,0.0,0.0,0.3925,0.3925
6,contradiction,A bundled up toddler is walking over snow.,A toddler walking in sand.,It is very uncommon to find snow and sand in the same place.,walking|snow|sand,32,True,False,False,False,0.0,0.0,0.4184,0.4184
7,contradiction,Two men are loading bales of wheat on top of a high structure on a cloudy day.,It is nighttime.,Nighttime cannot be a cloudy day. Day is daytime.,cloudy|day|nighttime,22,True,False,False,False,0.0,0.0,0.3716,0.3716
8,neutral,Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,If they are sitting then they are not doing a training montage.,training|montage,14,False,False,True,True,1.0,1.0,0.3606,0.6394
9,neutral,"Two ladies in matching dresses and shoes, both wearing straw hats pulled down over their faces, are napping on a bench next to a rolling suitcase.",two ladies take a rest after a race,Just because the two ladies are resting on a bench it does not mean that they just had a race.,after|race,9,False,False,True,True,1.0,1.0,0.2967,0.7033
10,contradiction,A girl with a bowing throwing a wet sponge.,The girl is not throwing anything.,The girl is either throwing or not throwing something.,throwing,14,False,False,True,False,0.0,0.0,0.3378,0.3378
11,entailment,The large white bird grazes the water.,The bird is touching the water,Large white bird is a bird.,large|white|bird,33,False,False,True,False,0.0,0.0,0.911,0.911
12,entailment,A man in an orange jacket reaches under a busted up blue car on wooden supports.,A man reaches into a car.,A man is eating in a car,car,13,False,False,True,False,0.0,0.0,0.2665,0.2665
13,contradiction,A man sits on his throne behind the drums.,The Queen of England sits behind some drums.,A  Queen is a woman not a man.,queen,12,False,False,True,False,0.0,0.0,0.3207,0.3207
14,entailment,"Am man riding a very tall bicycle down the street, past a large brick building.",A man rides a bike outside.,"A very tall bicycle is still a bicycle, and in order to ride it down the street, one must be outside.",very|tall|bicycle|street|bike|outside,21,True,False,False,True,1.0,1.0,0.5137,0.4863
15,neutral,"There are five singers on a stage, three women and two men.",The people performing are part of a chorus.,"Singing on a stage does not make you part of a chorus, people in plays and other performing arts may sing on stage.",chorus,13,False,False,True,True,1.0,1.0,0.0536,0.9464
16,neutral,Women are sitting around a table at a restaurant chatting.,Women are visiting.,Just because the women are sitting around a table chatting does not mean they are visiting.,visiting,9,False,False,True,True,1.0,1.0,0.1109,0.8891
17,contradiction,2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.,10 people are kissing,There can be either 2 people or 10 people. They are at a table with a woman cannot be they are kissing.,table|kissing,13,False,False,True,False,0.0,0.0,0.2015,0.2015
18,entailment,A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,There are some people on a road.,Man standing while another man bends are some people.,standing|another|bends,26,True,False,False,True,1.0,1.0,0.2809,0.7191
19,entailment,This child is on the library steps.,The child is on the steps.,The steps refer to the library steps.,steps,14,False,False,True,False,0.0,0.0,0.4088,0.4088
20,neutral,Two construction workers climbing the steel ribbed exterior of a new building at their work site.,The workers are climbing to build the steeple.,Just because they are climbing doesn't mean they are doing so to build a steeple.,build|steeple,17,False,False,True,True,1.0,1.0,0.1342,0.8658
21,entailment,A crowd gathered around a young man who is performing.,They are at a performance.,A man performing would be giving a performance.,performing|performance,18,False,False,True,False,0.0,0.0,0.4617,0.4617
22,neutral,Two men are interacting with some sort of mechanical contraption that is mounted on a wall.,Some mechanics at work.,Only because men are interacting with some sort of mechanical contraption doesn't necessarily mean they are mechanics.,mechanics,11,False,False,True,True,1.0,1.0,0.066,0.934
23,contradiction,"Right leg in a brace, a young boy lies on the couch while using his cellphone.",The boy is walking around,On the couch and walking around are different things.,couch|walking|around,20,False,False,True,False,0.0,0.0,0.6504,0.6504
24,neutral,A man in a business suit has just crossed the street.,The man is walking to work.,The second sentence explains the man is going to work and not some other destination,work,12,False,False,True,True,1.0,1.0,0.0707,0.9293
25,contradiction,Young people and a kid are walking in the forest in a sunny day.,The old folks were racing in their wheel chairs in the rain.,Either the people are young or old. There would not be rain on a sunny day. The subjects are either walking or racing.,young|walking|sunny|old|racing|rain,50,True,True,False,True,1.0,1.0,0.3683,0.6317
26,entailment,"Two little girls, wearing pink hanging on a tube.",Two girls on a tube.,The girls are little is implied by calling them girls.,little|girls,12,False,False,True,False,0.0,0.0,0.5501,0.5501
27,neutral,The man in white is playing basketball against the man in blue.,The team wearing white is winning the game.,"Just because a man is playing, doesn't state the team wearing white is the winning team.",team|wearing|white|winning,31,False,False,True,True,1.0,1.0,0.4693,0.5307
28,entailment,A thin brunette woman lounges while reading on a rooftop overlooking a cityscape.,A woman is on a rooftop.,A thin brunette woman is the same woman on the rooftop,thin|brunette|rooftop,21,False,False,True,False,0.0,0.0,0.4404,0.4404
29,entailment,The small child is wearing winter clothes and a hat.,The small child is dressed for winter.,A child wearing winter clothes and a hat must be dressed for winter.,wearing|winter|clothes|hat|dressed,46,True,False,False,True,1.0,1.0,0.5277,0.4723
30,contradiction,A young boy dressed in black and green is laying down in a tent outside with items surrounding him.,A girl lays down in front of a tent,It is either a girl or a boy who lays down in a tent.,young|girl,19,False,False,True,False,0.0,0.0,0.0632,0.0632
31,contradiction,A woman wears a robe and bikini with heels as she stands on stage next to a flower pot.,A woman is a dress is standing next to a flower pot.,One cannot be wearing a robe and a dress at the same time,robe|dress,17,False,False,True,False,0.0,0.0,0.3761,0.3761
32,contradiction,Kids out in front of a building doing sightseeing.,The kids are in a classroom,kids cannot do sightseeing and be in classroom simultaneously,sightseeing|classroom,8,False,False,True,False,0.0,0.0,0.3248,0.3248
33,entailment,An Asian woman enjoys a nice treat,A lady is taking pleasure from a treat.,Answer: the lady is an Asian woman and the pleasure refers to enjoys.,asian|enjoys|lady|pleasure,29,False,False,True,False,0.0,0.0,0.5892,0.5892
34,neutral,A young man in an orange hat walks his bicycle down a street.,A man broke his new bike.,When a man walks with a bicycle does not imply that he broke his bike and a bicycle need not necessarily be a new bike.,broke|new|bike,21,False,False,True,True,1.0,1.0,0.1837,0.8163
35,neutral,A child looks at a cactus garden.,A child in a red shirt is looking at a massive cactus garden in the desert.,You can not infer the shirt is red.,red,17,False,False,True,True,1.0,1.0,0.2359,0.7641
36,neutral,Two men spar in martial arts gear.,They are wearing all black gear.,Two men don't have any specified gear color while the others are wearing black gear.,black,17,False,False,True,True,1.0,1.0,0.0422,0.9578
37,neutral,People waiting to cross the street on the side of a sidewalk.,People are crossing the street during a parade.,A parade is not the only time you can't cross the street.,parade,8,False,False,True,True,1.0,1.0,0.2873,0.7127
38,neutral,People looking at tall oriental art piece.,The new Chinese history exhibit is open at the museum,"Oriental art pieces can be found in so many places, not only a museum.",museum,3,False,False,True,True,1.0,0.8,0.118,0.882
39,contradiction,A woman wearing a gray sweater stands in the street near a green pole.,A man wearing a sweater inside,It must be either a woman or a man,,0,False,False,True,False,0.0,0.5,0.0,0.0
40,contradiction,An older women tending to a garden.,The lady is cooking dinner,The lady can not be cooking dinner if she is tending to a garden,tending|garden|cooking|dinner,28,False,False,True,False,0.0,0.0,0.4726,0.4726
41,neutral,A group of people are gathered on a sidewalk in front of a store nearby a littered street.,A group of people are considering whether to shop at the store.,Just because a group of people are in front of a store does not mean they are considering to shop there.  They could be doing something else.,considering,13,False,False,True,True,1.0,1.0,0.0474,0.9526
42,entailment,An Asian woman dressed in a colorful outfit laughing.,A woman is wearing colorful clothing.,"If a woman is wearing something, then she is dressed.",dressed|wearing,21,False,False,True,False,0.0,0.0,0.4011,0.4011
43,entailment,A group of runners are running towards two identical skyscrapers.,The runners are running towards the large buildings.,Skyscrapers are large buildings.,skyscrapers|large|buildings,13,False,False,True,False,0.0,0.0,0.8552,0.8552
44,entailment,A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,Kisses a woman implies that in the past a man was kissing a woman,kisses|kissing,11,True,False,False,True,1.0,1.0,0.303,0.697
45,entailment,"A male singer, dressed in a long purple pea coat, holding an electric guitar, singing into a microphone, while a male in sunglasses and wearing headphones, plays drums, with purple drapery hanging in the background.",a singer in a pea coat,In a pea coat implies dressed in a pea coat.,dressed|pea|coat,30,True,False,False,True,1.0,1.0,0.5915,0.4085
46,neutral,A young woman dressed in black attaches bags full of flowers to a bicycle.,The flowers are lilacs.,Not all flowers are lilacs,lilacs,4,False,False,True,True,1.0,0.9,0.2596,0.7404
47,entailment,A man with no shirt on is holding a football.,A man holds a football.,holding a football is same as holds a football.,holding|football|holds,19,False,False,True,False,0.0,0.0,0.6813,0.6813
48,entailment,People boating on a lake with the sun through the clouds in the distance.,people on boat,People boating same as people on boat,boating|boat,7,True,False,False,True,1.0,1.0,0.4188,0.5812
49,contradiction,"A girl in a purple top, baggy pants and sneakers is blowing a kiss, while another girl in black watches.",A girl is smoking a cigar in a pool hall.,One cannot be smoking a cigar and blowing a kiss at the same time.,blowing|kiss|smoking|cigar,32,False,False,True,False,0.0,0.0,0.617,0.617
50,entailment,The older woman smiles as she holds up a hammer.,A woman is holding a tool.,"Woman holding a tool, that happens to be a hammer.",hammer|tool,23,False,False,True,False,0.0,0.0,0.4831,0.4831
51,contradiction,Two girls kissing a man with a black shirt and brown hair on the cheeks.,Two girls kiss.,Two girls kissing a man versus kissing each other.,girls|kissing|kiss,18,True,False,False,False,0.0,0.0,0.5914,0.5914
52,entailment,an elderly woman walking down the street.,An elderly woman is shown outside.,The woman is elderly and the street is outside.,street|elderly|outside,14,False,False,True,False,0.0,0.0,0.528,0.528
53,neutral,Three men stand on a sidewalk wearing construction hats.,The constuction crew is waiting for the next delivery of supplies,"You can stand on a sidewalk for nearly anything, not just waiting for supplies",waiting|delivery|supplies,26,False,False,True,True,1.0,1.0,0.1415,0.8585
54,neutral,A young girl with water wings leaps into a crowded pool,The girl is jumping to her father in the pool.,Leaps doesn't imply jump. A crowd doesn't imply a father.,jumping|father,25,False,False,True,True,1.0,1.0,0.1319,0.8681
55,contradiction,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,A woman climber attempts to pull herself up,It is a man not a woman,himself,0,False,False,True,False,0.0,0.5,0.0,0.0
56,entailment,A woman in a red shirt and white skirt playing tennis.,A woman is wearing a shirt.,A woman in a red shirt implies she is wearing a shirt.,red|shirt|wearing,29,False,False,True,False,0.0,0.0,0.4181,0.4181
57,neutral,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,The man is cold.,Just because a person is out with someone wearing a long-sleeved shirt does not mean that the person is cold.,cold,12,False,False,True,True,1.0,1.0,0.1883,0.8117
58,neutral,A boy in a yellow shirt running by some birds.,The boy is moving very fast.,All running boys are not moving very fast.,moving|very|fast,13,False,False,True,True,1.0,1.0,0.1727,0.8273
59,contradiction,Men work on a city street.,The men are sleeping,the men can't work and be sleeping at the same time,work|sleeping,24,False,False,True,False,0.0,0.0,0.303,0.303
60,neutral,A group of women playing volleyball indoors.,Awoman serves the volleyball.,It is unclear that the woman serves the ball as a part of her role in the game.,serves,13,False,False,True,True,1.0,1.0,0.0396,0.9604
61,neutral,A person dressed in winter clothes poses with a snowman surrounded by snow covered landscape.,A snowman is being photographed with its creator.,The snowman may also be neglected and forgotten about and may not be photographed.,photographed,3,False,False,True,True,1.0,0.8,0.1076,0.8924
62,contradiction,A man is standing outside next to a garbage can.,An owl sits in a tree late at night.,There is either a man or an owl.,owl,5,False,False,True,False,0.0,0.0,0.4883,0.4883
63,entailment,Two people climbing up some sort of wore structure.,Two people climb up a structure,Wore describes the structure.,wore|structure,20,False,False,True,False,0.0,0.0,0.6678,0.6678
64,entailment,a man wearing a red jacket and camouflage pants is leaning against a giant tree in the snow.,A man leaning on a tree,Leaning against is the same as leaning on a tree.,leaning|against|tree,32,True,False,False,True,1.0,1.0,0.7574,0.2426
65,contradiction,A child in an orange outfit stands holding flowers.,The kid is taking a nap.,A person cannot stand and nap simultaneously.,stands|nap,21,False,False,True,False,0.0,0.0,0.2396,0.2396
66,neutral,man doing carpentry or construction on top of an unfinished building.,The carpenter was almost finished.,A man doing carpentry may not be a carpenter. An unfinished building may not be almost finished.,carpenter|almost|finished,11,False,False,True,True,1.0,1.0,0.0531,0.9469
67,contradiction,This child is on the library steps.,The child is on the school steps.,A library and a school are different buildings.,library|school,19,True,False,False,False,0.0,0.0,0.5227,0.5227
68,contradiction,A smiling man and a baby girl posing for photo.,A girl poses for a selfie with her mother.,The mother cannot also be a man,mother,11,False,False,True,False,0.0,0.0,0.2872,0.2872
69,contradiction,There's a red bus making a left turn into a traffic circle that has a sprinkler system.,A red bus backing up into a spot,The bus cannot be making a left turn and backing up simultaneously,making|left|turn|backing,49,False,False,True,False,0.0,0.0,0.3097,0.3097
70,contradiction,A woman in a gray dress walks down the street.,The woman is eating lunch.,A woman cannot be eating lunch and walks down down the street same time.,walks|street|eating|lunch,35,True,False,False,False,0.0,0.0,0.4184,0.4184
71,contradiction,"A man wearing a graduation cap, a suit, and an orange shawl walks in front of city shops.",A woman wearing an evening gown is at a party.,"A man and a woman are two different people. An outfit consisting of a graduation cap, a suit, and an orange shawl is different than an evening gown. City shops are not the same location as a party.",graduation|cap|suit|orange|shawl|city|shops|evening|gown|party,115,True,False,False,False,0.0,0.0,0.3274,0.3274
72,neutral,Man jumping up in the air and splitting his legs with his mouth open.,A man is performing in front of a crowd.,Just because a man is doing the splits does not mean he is performing.,performing,9,False,False,True,True,1.0,1.0,0.0702,0.9298
73,neutral,A baby girl and little boy are standing next to a guitar and a drum.,The boy is wearing shorts.,Not every boy is wearing shorts.,wearing|shorts,27,False,False,True,True,1.0,1.0,0.3094,0.6906
74,contradiction,A big dog and a smaller dog fight over a piece of fabric.,A group of dogs fighting over a dead body.,The dogs are either fighting over fabric or a dead body.,piece|fabric|dead|body,31,False,False,True,False,0.0,0.0,0.2879,0.2879
75,contradiction,An elderly man talking to a young boy by a table of produce.,the boy  was listening to music,It cannot be an elderly man and a boy at the same time.,talking|boy|listening|music,30,False,False,True,False,0.0,0.0,0.1276,0.1276
76,contradiction,Man in white sweater looks from his press box onto the pitch.,A man writes his sports story,A man who looks onto the pitch cannot write at the same time.,looks|writes,16,False,False,True,False,0.0,0.0,0.0701,0.0701
77,neutral,A man with a light blue t-shirt outside in the open wearing red ear protection while firing a gun.,A man is signaling the start of a race.,"Just because, ""a man with a light blue t-shirt outside in the open wearing red ear protection while firing a gun,"" it does not necessarily mean that he is, ""signaling the start of a race.""",signaling|start|race,24,False,False,True,True,1.0,1.0,0.3722,0.6278
78,entailment,A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre.,A man is near a building labeled Lottery Ticket Centre.,""" A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre."" is a more descriptive version of ""A man is near a building labeled Lottery Ticket Centre"".",walks|building|lottery|ticket|centre,49,False,False,True,False,0.0,0.0,0.2888,0.2888
79,contradiction,A woman in a bathing suit is sitting on a dock over a body of water.,A  woman is swimming in her pool.,The woman cannot be sitting on a dock and swimming in her pool simultaneously.,sitting|dock|swimming|pool,35,True,False,False,False,0.0,0.0,0.4165,0.4165
80,neutral,a young man pouring tea inside of a glass jar.,A man is getting ready to drink ice tea.,It may not be ice tea,ice,10,False,False,True,True,1.0,1.0,0.1144,0.8856
81,neutral,"Five individuals standing on grass next to a brick building, holding their own string instrument.",The people are friends.,People standing together does not imply they are friends.,friends,12,False,False,True,True,1.0,1.0,0.1638,0.8362
82,entailment,"A man in a white shirt and gray slack hitting a golf ball on a golf course, with trees and power lines in the background.",A man is hitting a golf ball.,Is hitting is a rephrasing of hitting.,hitting,7,False,False,True,False,0.0,0.0,0.4853,0.4853
83,contradiction,Two people are riding bicycles next to a building.,A woman is riding a unicycle past a building.,Either there are two people or a woman. One cannot ride a bicycle and a unicycle at the same time. They are either next to a building or past it.,bicycles|unicycle|past,15,True,False,False,False,0.0,0.0,0.0843,0.0843
84,contradiction,A man is walking past a large sign that says E.S.E. Electronics.,A man is running past the sign.,A man can be either walking or running.,walking|running,23,True,False,False,False,0.0,0.0,0.498,0.498
85,contradiction,Dog running with pet toy being chased by another dog.,A dog is being chased by a cat,Dog is different from cat.,dog|cat,37,False,False,True,False,0.0,0.0,0.6382,0.6382
86,entailment,A red dog jumps and catches a tennis ball in its mouth.,a dog catching a ball,The dog is a dog because it is a red dog.,red|dog,40,False,False,True,False,0.0,0.0,0.5578,0.5578
87,neutral,A large group of people gather at a piano bar.,A group of men at a piano bar,People are not assumed to be men.,,0,False,False,True,True,1.0,0.5,0.0,1.0
88,entailment,A boy in the woods.,There is a boy in the woods.,A boy in the woods implies that there is a boy,boy,8,False,False,True,False,0.0,0.0,0.2961,0.2961
89,contradiction,A man with a latex glove and black t-shit is standing in front of a Chevy van.,a man in his van because he caught his victim,Standing in front of a van implies the man is not in his van.,standing|front|van,34,False,False,True,False,0.0,0.0,0.4635,0.4635
90,entailment,A man wearing a black t-shirt that says 'Long Live the Dead' pulls a shopping cart in the street near a NYC yellow taxi cab.,A man is wearing a clever shirt.,"'Long Live The Dead' is a clever phrase to put on a t-shirt, which is a type of shirt.",t-shirt|long|live|dead|clever|shirt,23,False,True,False,False,0.0,0.0,0.8424,0.8424
91,entailment,A man in a market holding some very large green onions while smoking a cigarette.,A man is holding onions.,Both man are holding onions.,holding|onions,11,False,False,True,False,0.0,0.0,0.5322,0.5322
92,entailment,A group of men and boys look upwards at something.,A group of people looking up.,Men and boys are people.,boys,8,False,False,True,False,0.0,0.0,0.1817,0.1817
93,entailment,Xylophonists play in a dark setting.,someone who plays a xylophone,Xylophonists is someone who plays a xylophone.,xylophonists|someone|xylophone,9,False,False,True,False,0.0,0.0,0.6925,0.6925
94,neutral,two women in lingerie with green feathers around waist,A pair of strippers do a dance,Just because they are women in lingerie does not necisarrily mean they are strippers.  That is not revealed until sentence 2,strippers,7,False,False,True,True,1.0,1.0,0.1204,0.8796
95,neutral,A short-haired man in a dark camouflage jacket plays the saxophone on a street corner while people look on in the background.,a man performs on the street for tips,"You can be performing at a planned event, it doesn't mean you are there for tips.",tips,24,False,False,True,True,1.0,1.0,0.1989,0.8011
96,contradiction,A person enjoys a beautiful sunny day paragliding.,The person is swimming.,"The person is either swimming or paragliding, not both.",paragliding|swimming,9,False,False,True,False,0.0,0.0,0.5481,0.5481
97,entailment,Person parasailing with a board in the ocean.,This person is in the ocean.,A person parasailing with a board in the ocean must be in the ocean.,parasailing|board|ocean,18,False,False,True,False,0.0,0.0,0.5927,0.5927
98,neutral,"A man in a blue shirt, blue jeans, and a red apron standing at a grill.",A man in blue jeans cooks hot dogs on the grill.,We do not know he is cooking hot dogs because the food item is never described in sentence 1.,hot|dogs,27,False,False,True,True,1.0,1.0,0.1052,0.8948
99,entailment,A hockey player in blue and red guarding the goal.,a person playing a sport,Hockey is a sport and  player is a person.,hockey|player|sport,27,True,False,False,True,1.0,1.0,0.6126,0.3874
